Hash,Shader Type,Function,Call Location,"Live""""Registers",###ERROR###,Total Samples,"Execution""""Region",Avg. Warp Latency,Top Stall #1 (Type),Top Stall #1 (% Samples),Top Stall #2 (Type),Top Stall #2 (% Samples),Top Stall #3 (Type),Top Stall #3 (% Samples),Total Instruction Mix,Total SB Producer Samples,"Instructions""""Executed","Thread Instructions""""Executed","Thread Instructions""""Executed Pred On","Active Threads""""Per Warp"
,,"V_SmithCorrelated(float,float,float)","path_tracer_core.hlsl:414""""path_tracer_core.hlsl:435""""path_tracer_core.hlsl:471""""path_tracer_core.hlsl:523""""path_tracer_core.hlsl:565""""path_tracer_core.hlsl:777""""path_tracer_core.hlsl:868",126,0.0012072481115078702,0.0012072481115078702,,5014.087305480931,NOINST,0.39909443725743854,LGSB,WAIT,80,39502,0,0,0,0
,,"combine_reservoirs(struct Reservoir,struct Reservoir,float,struct RNG)","path_tracer_core.hlsl:475""""path_tracer_core.hlsl:539",120,0.0007266915217135989,0.0007266915217135989,,3018.5726785357447,NOINST,0.48850204169353106,LGSB,WAIT,15,17637,0,0,0,0
,,[Self: combine_reservoirs],--,120,0,0.00041355666226039326,,1717.8552445223838,NOINST,0.45959214501510576,LGSB,WAIT,6,3399,0,0,0,0
,,"update_reservoir(struct Reservoir,unsigned int,float,struct RNG)",restir_lib.hlsl:56,119,0.0003131348594532056,0.0003131348594532056,,1300.7174340133608,NOINST,0.5266832917705736,WAIT,SELECT,12,14238,0,0,0,0
,,[Self: update_reservoir],--,119,0,0.00021927249011087317,,910.8265722467625,NOINST,0.6752136752136753,WAIT,SELECT,12,14238,0,0,0,0
,,next_float(struct RNG),restir_lib.hlsl:37,119,9.386236934233246e-05,9.386236934233246e-05,,389.8908617665984,WAIT,0.6006655574043261,NOINST,SELECT,7,,0,0,0,0
,,pcg_hash(unsigned int),random_lib.hlsl:36,119,7.918173254003753e-05,7.918173254003753e-05,,328.90959553355304,WAIT,0.5759368836291914,NOINST,SELECT,7,,0,0,0,0
,,[Self: next_float],--,119,0,1.4680636802294927e-05,,60.98126623304534,WAIT,0.7340425531914894,SELECT,NOTSEL,3,,0,0,0,0
,,"D_GGX(float,float)","path_tracer_core.hlsl:414""""path_tracer_core.hlsl:435""""path_tracer_core.hlsl:471""""path_tracer_core.hlsl:523""""path_tracer_core.hlsl:565""""path_tracer_core.hlsl:658""""path_tracer_core.hlsl:683""""path_tracer_core.hlsl:705""""path_tracer_core.hlsl:777",126,0.0006567242314218103,0.0006567242314218103,,2727.93855861655,NOINST,0.7058263971462545,WAIT,SELECT,104,289,0,0,0,0
,,"PDF_GGX(float,float,float)","path_tracer_core.hlsl:623""""path_tracer_core.hlsl:867",126,0.0006311112055114234,0.0006311112055114234,,2621.54571114613,NOINST,0.625587725810443,WAIT,SELECT,80,423,0,0,0,0
